row,date,City,Amount
511,20120223,New York City,50.6
512,20120224,New York City,42.7
513,20120225,New York City,42.6
514,20120226,New York City,36.9
515,20120227,New York City,40.9
516,20120228,New York City,45.9
517,20120229,New York City,40.7
518,20120301,New York City,41.3
519,20120302,New York City,36.8
520,20120303,New York City,47.6
521,20120304,New York City,44.2
522,20120305,New York City,38.5
523,20120306,New York City,32.9
524,20120307,New York City,43.3
525,20120308,New York City,51.2
526,20120309,New York City,47.8
527,20120310,New York City,37.2
528,20120311,New York City,42.9
529,20120312,New York City,48.8
530,20120313,New York City,52.6
531,20120314,New York City,60.5
532,20120315,New York City,47.2
533,20120316,New York City,44.7
534,20120317,New York City,48.2
535,20120318,New York City,48.2
536,20120319,New York City,53.1
537,20120320,New York City,57.8
538,20120321,New York City,57.5
539,20120322,New York City,57.3
540,20120323,New York City,61.7
541,20120324,New York City,55.8
542,20120325,New York City,48.4
543,20120326,New York City,49.8
544,20120327,New York City,39.6
545,20120328,New York City,49.7
546,20120329,New York City,56.8
547,20120330,New York City,46.5
548,20120331,New York City,42.2
549,20120401,New York City,45.3
550,20120402,New York City,48.1
551,20120403,New York City,51.2
552,20120404,New York City,61.0
553,20120405,New York City,50.7
554,20120406,New York City,48.0
555,20120407,New York City,51.1
556,20120408,New York City,55.7
557,20120409,New York City,58.3
558,20120410,New York City,55.0
559,20120411,New York City,49.0
560,20120412,New York City,51.7
561,20120413,New York City,53.1
562,20120414,New York City,55.2
563,20120415,New York City,62.3
564,20120416,New York City,62.9
565,20120417,New York City,69.3
566,20120418,New York City,59.0
567,20120419,New York City,54.1
568,20120420,New York City,56.5
569,20120421,New York City,58.2
570,20120422,New York City,52.4
571,20120423,New York City,51.6
572,20120424,New York City,49.3
573,20120425,New York City,52.5
574,20120426,New York City,50.5
575,20120427,New York City,51.9
576,20120428,New York City,47.4
577,20120429,New York City,54.1
578,20120430,New York City,51.9
579,20120501,New York City,57.4
580,20120502,New York City,53.7
581,20120503,New York City,53.1
582,20120504,New York City,57.2
583,20120505,New York City,57.0
584,20120506,New York City,56.6
585,20120507,New York City,54.6
586,20120508,New York City,57.9
587,20120509,New York City,59.2
588,20120510,New York City,61.1
589,20120511,New York City,59.7
590,20120512,New York City,64.1
591,20120513,New York City,65.3
592,20120514,New York City,64.2
593,20120515,New York City,62.0
594,20120516,New York City,63.8
595,20120517,New York City,64.5
596,20120518,New York City,61.0
597,20120519,New York City,62.6
598,20120520,New York City,66.2
599,20120521,New York City,62.7
600,20120522,New York City,63.7
601,20120523,New York City,66.4
602,20120524,New York City,64.5
603,20120525,New York City,65.4
604,20120526,New York City,69.4
605,20120527,New York City,71.9
606,20120528,New York City,74.4
607,20120529,New York City,75.9
608,20120530,New York City,72.9
609,20120531,New York City,72.5
610,20120601,New York City,67.2
611,20120602,New York City,68.3
612,20120603,New York City,67.7
613,20120604,New York City,61.9
614,20120605,New York City,58.3
615,20120606,New York City,61.7
616,20120607,New York City,66.7
617,20120608,New York City,68.7
618,20120609,New York City,72.2
619,20120610,New York City,72.6
620,20120611,New York City,69.2
621,20120612,New York City,66.9
622,20120613,New York City,66.7
623,20120614,New York City,67.7
624,20120615,New York City,68.5
625,20120616,New York City,67.5
626,20120617,New York City,64.2
627,20120618,New York City,61.7
628,20120619,New York City,66.4
629,20120620,New York City,77.9
630,20120621,New York City,88.3
631,20120622,New York City,82.2
632,20120623,New York City,77.0
633,20120624,New York City,75.4
634,20120625,New York City,70.9
635,20120626,New York City,65.9
636,20120627,New York City,73.5
637,20120628,New York City,77.4
638,20120629,New York City,79.6
639,20120630,New York City,84.2
640,20120701,New York City,81.8
641,20120702,New York City,82.5
642,20120703,New York City,80.2
643,20120704,New York City,77.8
644,20120705,New York City,86.1
645,20120706,New York City,79.9
646,20120707,New York City,83.5
647,20120708,New York City,81.5
648,20120709,New York City,77.8
649,20120710,New York City,76.1
650,20120711,New York City,76.3
651,20120712,New York City,75.8
652,20120713,New York City,77.2
653,20120714,New York City,79.3
654,20120715,New York City,78.9
655,20120716,New York City,79.6
656,20120717,New York City,83.3
657,20120718,New York City,84.3
658,20120719,New York City,75.1
659,20120720,New York City,68.4
660,20120721,New York City,68.4
661,20120722,New York City,72.2
662,20120723,New York City,75.6
663,20120724,New York City,82.6
664,20120725,New York City,78.4
665,20120726,New York City,77.0
666,20120727,New York City,79.4
667,20120728,New York City,77.4
668,20120729,New York City,72.5
669,20120730,New York City,72.9
670,20120731,New York City,73.6
671,20120801,New York City,75.0
672,20120802,New York City,77.7
673,20120803,New York City,79.7
674,20120804,New York City,79.6
675,20120805,New York City,81.5
676,20120806,New York City,80.0
677,20120807,New York City,75.7
678,20120808,New York City,77.8
679,20120809,New York City,78.6
680,20120810,New York City,77.8
681,20120811,New York City,78.5
682,20120812,New York City,78.8
683,20120813,New York City,78.6
684,20120814,New York City,76.8
685,20120815,New York City,76.7
686,20120816,New York City,75.9
687,20120817,New York City,77.6
688,20120818,New York City,72.6
689,20120819,New York City,70.4
690,20120820,New York City,71.8
691,20120821,New York City,73.6
692,20120822,New York City,74.7
693,20120823,New York City,74.6
694,20120824,New York City,76.0
695,20120825,New York City,76.2
696,20120826,New York City,73.4
697,20120827,New York City,74.6
698,20120828,New York City,79.4
699,20120829,New York City,74.7
700,20120830,New York City,73.5
701,20120831,New York City,77.9
702,20120901,New York City,80.7
703,20120902,New York City,75.1
704,20120903,New York City,73.5
705,20120904,New York City,73.5
706,20120905,New York City,77.7
707,20120906,New York City,74.2
708,20120907,New York City,76.0
709,20120908,New York City,77.1
710,20120909,New York City,69.7
711,20120910,New York City,67.8
712,20120911,New York City,64.0
713,20120912,New York City,68.1
714,20120913,New York City,69.3
715,20120914,New York City,70.0
716,20120915,New York City,69.3
717,20120916,New York City,66.3
718,20120917,New York City,67.0
719,20120918,New York City,72.8
720,20120919,New York City,67.2
721,20120920,New York City,62.1
722,20120921,New York City,64.0
723,20120922,New York City,65.5
724,20120923,New York City,65.7
725,20120924,New York City,60.4
726,20120925,New York City,63.2
727,20120926,New York City,68.5
728,20120927,New York City,69.2
729,20120928,New York City,68.7
730,20120929,New York City,62.5
731,20120930,New York City,62.3
732,20111001,Austin,72.2
733,20111002,Austin,67.7
734,20111003,Austin,69.4
735,20111004,Austin,68.0
736,20111005,Austin,72.4
737,20111006,Austin,77.0
738,20111007,Austin,82.3
739,20111008,Austin,78.9
740,20111009,Austin,68.8
741,20111010,Austin,68.7
742,20111011,Austin,70.3
743,20111012,Austin,75.3
744,20111013,Austin,76.6
745,20111014,Austin,66.6
746,20111015,Austin,68.0
747,20111016,Austin,70.6
748,20111017,Austin,71.1
749,20111018,Austin,70.0
750,20111019,Austin,61.6
751,20111020,Austin,57.4
752,20111021,Austin,64.3
753,20111022,Austin,72.4
754,20111023,Austin,72.4
755,20111024,Austin,72.5
756,20111025,Austin,72.7
757,20111026,Austin,73.4
758,20111027,Austin,70.7
759,20111028,Austin,56.8
760,20111029,Austin,51.0
761,20111030,Austin,54.9
762,20111031,Austin,58.8
763,20111101,Austin,62.6
764,20111102,Austin,71.0
765,20111103,Austin,58.4
766,20111104,Austin,45.1
767,20111105,Austin,52.2
768,20111106,Austin,73.0
769,20111107,Austin,75.4
770,20111108,Austin,72.1
771,20111109,Austin,56.6
772,20111110,Austin,55.4
773,20111111,Austin,46.7
774,20111112,Austin,62.0
775,20111113,Austin,71.6
776,20111114,Austin,75.5
777,20111115,Austin,72.1
778,20111116,Austin,65.7
779,20111117,Austin,56.8
780,20111118,Austin,49.9
781,20111119,Austin,71.7
782,20111120,Austin,77.7
783,20111121,Austin,76.4
784,20111122,Austin,68.8
785,20111123,Austin,57.0
786,20111124,Austin,55.5
787,20111125,Austin,61.6
788,20111126,Austin,64.1
789,20111127,Austin,51.1
790,20111128,Austin,43.0
791,20111129,Austin,46.4
792,20111130,Austin,48.0
793,20111201,Austin,48.1
794,20111202,Austin,60.6
795,20111203,Austin,62.6
796,20111204,Austin,57.1
797,20111205,Austin,44.2
798,20111206,Austin,37.4
799,20111207,Austin,35.0
800,20111208,Austin,37.0
801,20111209,Austin,45.4
802,20111210,Austin,50.7
803,20111211,Austin,48.6
804,20111212,Austin,52.2
805,20111213,Austin,60.8
806,20111214,Austin,70.0
807,20111215,Austin,64.2
808,20111216,Austin,50.9
809,20111217,Austin,51.6
810,20111218,Austin,55.2
811,20111219,Austin,62.1
812,20111220,Austin,56.3
813,20111221,Austin,47.2
814,20111222,Austin,52.3
815,20111223,Austin,45.2
816,20111224,Austin,43.6
817,20111225,Austin,42.9
818,20111226,Austin,48.2
819,20111227,Austin,45.4
820,20111228,Austin,44.2
821,20111229,Austin,50.4
822,20111230,Austin,52.4
823,20111231,Austin,53.5
824,20120101,Austin,55.9
825,20120102,Austin,48.2
826,20120103,Austin,41.0
827,20120104,Austin,48.9
828,20120105,Austin,54.8
829,20120106,Austin,61.2
830,20120107,Austin,59.7
831,20120108,Austin,52.5
832,20120109,Austin,54.0
833,20120110,Austin,47.7
834,20120111,Austin,49.2
835,20120112,Austin,48.4
836,20120113,Austin,40.2
837,20120114,Austin,43.9
838,20120115,Austin,45.2
839,20120116,Austin,65.0
840,20120117,Austin,68.2
841,20120118,Austin,47.5
842,20120119,Austin,57.1
843,20120120,Austin,61.9
844,20120121,Austin,54.6
845,20120122,Austin,56.7
846,20120123,Austin,54.4
847,20120124,Austin,52.7
848,20120125,Austin,61.8
849,20120126,Austin,55.0
850,20120127,Austin,50.7
851,20120128,Austin,52.9
852,20120129,Austin,44.4
853,20120130,Austin,49.1
854,20120131,Austin,62.8
855,20120201,Austin,64.6
856,20120202,Austin,61.1
857,20120203,Austin,70.0
858,20120204,Austin,61.3
859,20120205,Austin,48.2
860,20120206,Austin,44.2
861,20120207,Austin,51.3
862,20120208,Austin,49.2
863,20120209,Austin,45.7
864,20120210,Austin,54.1
865,20120211,Austin,44.9
866,20120212,Austin,36.5
867,20120213,Austin,44.8
868,20120214,Austin,52.3
869,20120215,Austin,68.0
870,20120216,Austin,54.6
871,20120217,Austin,53.8
872,20120218,Austin,56.2
873,20120219,Austin,50.8
874,20120220,Austin,53.0
875,20120221,Austin,61.0
876,20120222,Austin,68.8
877,20120223,Austin,69.4
878,20120224,Austin,59.3
879,20120225,Austin,47.2
880,20120226,Austin,47.7
881,20120227,Austin,61.9
882,20120228,Austin,67.2
883,20120229,Austin,70.1
884,20120301,Austin,62.1
885,20120302,Austin,72.7
886,20120303,Austin,59.0
887,20120304,Austin,51.8
888,20120305,Austin,55.0
889,20120306,Austin,61.8
890,20120307,Austin,67.1
891,20120308,Austin,72.0
892,20120309,Austin,46.4
893,20120310,Austin,46.7
894,20120311,Austin,56.9
895,20120312,Austin,61.9
896,20120313,Austin,68.8
897,20120314,Austin,71.9
898,20120315,Austin,72.0
899,20120316,Austin,72.5
900,20120317,Austin,71.7
901,20120318,Austin,71.1
902,20120319,Austin,73.0
903,20120320,Austin,63.8
904,20120321,Austin,60.0
905,20120322,Austin,62.3
906,20120323,Austin,61.1
907,20120324,Austin,62.0
908,20120325,Austin,64.6
909,20120326,Austin,66.0
910,20120327,Austin,65.8
911,20120328,Austin,69.2
912,20120329,Austin,69.5
913,20120330,Austin,73.5
914,20120331,Austin,73.9
915,20120401,Austin,75.3
916,20120402,Austin,75.4
917,20120403,Austin,77.3
918,20120404,Austin,67.0
919,20120405,Austin,71.1
920,20120406,Austin,70.4
921,20120407,Austin,73.6
922,20120408,Austin,71.1
923,20120409,Austin,70.0
924,20120410,Austin,69.0
925,20120411,Austin,69.2
926,20120412,Austin,74.5
927,20120413,Austin,73.4
928,20120414,Austin,76.0
929,20120415,Austin,74.5
930,20120416,Austin,63.6
931,20120417,Austin,67.3
932,20120418,Austin,65.1
933,20120419,Austin,67.9
934,20120420,Austin,68.9
935,20120421,Austin,65.1
936,20120422,Austin,65.4
937,20120423,Austin,70.1
938,20120424,Austin,67.0
939,20120425,Austin,75.4
940,20120426,Austin,77.5
941,20120427,Austin,77.0
942,20120428,Austin,77.7
943,20120429,Austin,77.7
944,20120430,Austin,77.7
945,20120501,Austin,77.0
946,20120502,Austin,77.9
947,20120503,Austin,79.1
948,20120504,Austin,80.1
949,20120505,Austin,82.1
950,20120506,Austin,79.0
951,20120507,Austin,79.8
952,20120508,Austin,70.0
953,20120509,Austin,69.8
954,20120510,Austin,71.3
955,20120511,Austin,69.4
956,20120512,Austin,72.0
957,20120513,Austin,72.4
958,20120514,Austin,72.5
959,20120515,Austin,67.6
960,20120516,Austin,69.0
961,20120517,Austin,72.7
962,20120518,Austin,73.7
963,20120519,Austin,77.5
964,20120520,Austin,75.8
965,20120521,Austin,76.9
966,20120522,Austin,78.8
967,20120523,Austin,77.7
968,20120524,Austin,80.6
969,20120525,Austin,81.4
970,20120526,Austin,82.3
971,20120527,Austin,80.3
972,20120528,Austin,80.3
973,20120529,Austin,82.2
974,20120530,Austin,81.9
975,20120531,Austin,82.4
976,20120601,Austin,77.9
977,20120602,Austin,81.1
978,20120603,Austin,82.2
979,20120604,Austin,81.2
980,20120605,Austin,83.0
981,20120606,Austin,83.2
982,20120607,Austin,82.1
983,20120608,Austin,77.5
984,20120609,Austin,77.9
985,20120610,Austin,82.9
986,20120611,Austin,86.8
987,20120612,Austin,85.3
988,20120613,Austin,76.9
989,20120614,Austin,84.5
990,20120615,Austin,84.4
991,20120616,Austin,83.8
992,20120617,Austin,82.5
993,20120618,Austin,82.9
994,20120619,Austin,82.5
995,20120620,Austin,81.3
996,20120621,Austin,80.8
997,20120622,Austin,81.7
998,20120623,Austin,83.9
999,20120624,Austin,85.5
1000,20120625,Austin,87.2
1001,20120626,Austin,88.0
1002,20120627,Austin,89.6
1003,20120628,Austin,86.7
1004,20120629,Austin,85.3
1005,20120630,Austin,81.7
1006,20120701,Austin,78.5
1007,20120702,Austin,83.1
1008,20120703,Austin,83.1
1009,20120704,Austin,84.5
1010,20120705,Austin,84.6
1011,20120706,Austin,84.2
1012,20120707,Austin,86.7
1013,20120708,Austin,84.3
1014,20120709,Austin,83.7
1015,20120710,Austin,77.1
1016,20120711,Austin,77.4
1017,20120712,Austin,80.6
1018,20120713,Austin,81.4
1019,20120714,Austin,80.2
1020,20120715,Austin,81.8
1021,20120716,Austin,77.3
1022,20120717,Austin,80.8
1023,20120718,Austin,81.6
1024,20120719,Austin,80.9
1025,20120720,Austin,83.9
1026,20120721,Austin,85.6
1027,20120722,Austin,83.6
1028,20120723,Austin,84.0
1029,20120724,Austin,83.0
1030,20120725,Austin,84.8
1031,20120726,Austin,84.4
1032,20120727,Austin,84.3
1033,20120728,Austin,83.9
1034,20120729,Austin,85.0
1035,20120730,Austin,84.9
1036,20120731,Austin,86.3
1037,20120801,Austin,86.5
1038,20120802,Austin,85.8
1039,20120803,Austin,85.3
1040,20120804,Austin,86.0
1041,20120805,Austin,84.2
1042,20120806,Austin,81.9
1043,20120807,Austin,86.5
1044,20120808,Austin,86.1
1045,20120809,Austin,86.8
1046,20120810,Austin,88.0
1047,20120811,Austin,85.1
1048,20120812,Austin,87.4
1049,20120813,Austin,88.0
1050,20120814,Austin,88.0
1051,20120815,Austin,87.2
1052,20120816,Austin,86.1
1053,20120817,Austin,86.8
1054,20120818,Austin,84.9
1055,20120819,Austin,76.8
1056,20120820,Austin,80.6
1057,20120821,Austin,80.0
1058,20120822,Austin,78.2
1059,20120823,Austin,79.1
1060,20120824,Austin,81.9
1061,20120825,Austin,84.7
1062,20120826,Austin,83.5
1063,20120827,Austin,82.1
1064,20120828,Austin,84.0
1065,20120829,Austin,85.7
1066,20120830,Austin,87.2
1067,20120831,Austin,82.9
1068,20120901,Austin,84.8
1069,20120902,Austin,83.9
1070,20120903,Austin,85.5
1071,20120904,Austin,86.4
1072,20120905,Austin,85.8
1073,20120906,Austin,85.4
1074,20120907,Austin,85.3
1075,20120908,Austin,81.9
1076,20120909,Austin,74.8
1077,20120910,Austin,71.6
1078,20120911,Austin,75.9
1079,20120912,Austin,82.1
1080,20120913,Austin,80.5
1081,20120914,Austin,70.0
1082,20120915,Austin,71.2
1083,20120916,Austin,70.3
1084,20120917,Austin,72.1
1085,20120918,Austin,73.7
1086,20120919,Austin,72.7
1087,20120920,Austin,71.7
1088,20120921,Austin,72.9
1089,20120922,Austin,73.1
1090,20120923,Austin,75.6
1091,20120924,Austin,78.3
1092,20120925,Austin,78.3
1093,20120926,Austin,79.6
1094,20120927,Austin,76.4
1095,20120928,Austin,77.2
1096,20120929,Austin,75.2
1097,20120930,Austin,71.9
